Feature ID	Taxon	Confidence
27a5ef6e53902197850e98324889fdfe	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Cyanobacteriales_Incertae_Sedis; g__uncultured; s__uncultured_Antarctic	0.7753661110574185
ae2edf66eb4e0e8a6373c7b4f36b5e12	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	0.999511016692416
77ac51f000559f84c8c7e59d5fa3a488	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium; s__Novosphingobium_capsulatum	0.7263867402282712
05bb834b7b139e971a6847934e8837f9	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Erwiniaceae; g__Pantoea	0.7491327233389984
2db00a95ed66459ab108b10289236a16	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium; s__Allorhizobium_vitis	0.7058667395789204
84c6cf7330d1be6e74c76d28ed84cf00	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae	0.9999902464089918
99c01c8099cfccb3a4c4b8a994485d92	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.7760586771021316
56861a33913c6ab313376efaf5ef8f4c	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__uncultured	0.7249268924793661
2f036c43b3aef609905dd7af175089b1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Herbaspirillum	0.9320907198686035
c797ecc923ef65da55c18a005fa0a668	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.9217804992400214
e3b6350ccd5cfc983fe48094409dc9a3	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales	0.9999988432784778
dd9db68f84bf9527eb34886a795e08e5	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodobacter	0.7103980820755075
0cd6cb602dc08e9d1c63d4dddc9c5b95	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.7774009142919265
ba8c76fa5a602ee7a1867bcf9ae62c99	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae	0.9999428936465589
fa3750d9b9b5b30e03d0793729f88935	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Azorhizobium; s__Xanthobacter_sp.	0.966622073109335
85a8b29dd3c64524083b9582244855b7	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.9999888947232219
27dabe10f76da637e0de00786d2c0717	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Microvirga	0.9967578470842838
